t_1,t_2,t_3,t_4,t_5,t_6,t_7
0.07949874508188247,0.17737004539261017,0.08258997467273649,0.15280830214852598,0.07209893533046373,0.0908952363010356,0.3447387610727455
0.11368289961001492,0.14334894476464433,0.16932227081148313,0.13084507805717366,0.1261497985666679,0.14034076571648832,0.1763102424735278
0.16267934673223852,0.16337146773704028,0.1543668111195819,0.11088147805107351,0.09843886234461605,0.1291966843757914,0.1810653496396583
0.10010978599892154,0.1304505695247438,0.09429796876552987,0.16450723321198765,0.12954621952456868,0.12295852619097915,0.2581296967832693
0.07172718144242976,0.15644098756104743,0.11619981358374278,0.42386491047384534,0.08273088592902877,0.07036215537910936,0.07867406563079647
0.13412924366109388,0.1201497747920924,0.11363064001494949,0.14066710495909096,0.11061933857203587,0.17580992493287526,0.20499397306786207
0.08572061085501646,0.20986204430127825,0.07897834183117099,0.11571764024236907,0.14511504169539116,0.12115127733233447,0.24345504374243987
0.09308670841480889,0.09874511183222602,0.18985871979392144,0.1712558858688807,0.20566714910804126,0.11199052454193258,0.12939590044018892
0.10936913947818877,0.1534412025715101,0.11837883408871729,0.16974975444417087,0.12132881385993165,0.11489011687070232,0.21284213868677906
0.11113350043257056,0.131940633120213,0.12843919287172975,0.16954558033505687,0.0926340728890961,0.15796179104858857,0.20834522930274504
0.16081763072942476,0.23387955106715688,0.12154023969445008,0.10362677465227328,0.10349674761048827,0.15715931956818496,0.11947973667802188
0.14058813634494302,0.11154233125376216,0.1376464894396604,0.1630818164725788,0.1407136143637519,0.17257905169282753,0.13384856043247614
0.19814291421264696,0.1641702982539421,0.1543641787458196,0.1255484754678259,0.11224834892430453,0.10312323397140676,0.1424025504240542
0.14841851775553305,0.15956047778411495,0.11783683123360157,0.1480118063045814,0.164456029949253,0.12420463808995635,0.1375116988829598
0.12616766500868148,0.3243487917733413,0.09325700897899805,0.14481437086612284,0.12037842501007306,0.10180506260016609,0.08922867576261727
0.10938267888792898,0.369692247483912,0.07706491284237056,0.1061910011926087,0.15776010736026064,0.1000658537938823,0.07984319843903703
