t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8
0.06565803628906514,0.07466039098084236,0.06196015829657958,0.07789934708366496,0.09727676373505846,0.12019499275601267,0.08462582888967364,0.41772448196910317
0.15668375275419746,0.19029429776625753,0.1162912195545302,0.11016825968375142,0.12121985535586578,0.10755495898695917,0.09302454517673907,0.10476311072169957
0.1571146252920469,0.10232794048310426,0.17248774941791756,0.10079856272963561,0.1570105560958201,0.08274450202800099,0.105037642068545,0.12247842188492952
0.07728425381632731,0.09359103430048828,0.07815433114530143,0.08990070741230621,0.17553899617387358,0.07976057871921267,0.10619637380125446,0.2995737246312361
0.10386381195934,0.09105896012008957,0.11890866627707167,0.13338779308497387,0.1034190131233861,0.27986131132609426,0.07983449985496954,0.08966594425407504
0.0850953577432947,0.08953134335427561,0.0957662162994128,0.21501485185774605,0.1183642169612481,0.1279285283583774,0.12332287051415713,0.14497661491148822
0.06760631285733457,0.06616158105884007,0.06445539479341389,0.10393155992626671,0.210389528719082,0.14039191374773227,0.09476832883486301,0.2522953800624674
0.07483356335616326,0.09555828250567071,0.07482724643890443,0.28496764470753766,0.17767238683334932,0.13125789749492323,0.08379378366674767,0.07708919499670373
0.06526070681574263,0.12343406184827806,0.0686846802465462,0.2885110142241496,0.09937966603302492,0.14143016257211966,0.07509588339865793,0.138203824861481
0.10835764677449417,0.13381991996690318,0.13219248740441422,0.12528548178713983,0.0759460561671079,0.1053001662465209,0.18920928094315195,0.12988896071026776
0.11636353379708007,0.18664219285137357,0.19542023744832526,0.0927833612023709,0.08769825385362845,0.1004699007177115,0.12035880280319669,0.10026371732631352
0.10831047630209442,0.15365537445652733,0.08642690999373331,0.17172200172538127,0.0920209483733896,0.08232226663606862,0.18691068137395528,0.11863134113885006
0.1346119532761187,0.1460797256448245,0.233162501217091,0.08596331894329064,0.10324849767389072,0.09103151826206908,0.13233784800960854,0.07356463697310708
0.08912219942851146,0.10718082043685181,0.11122137004955153,0.09227997119685821,0.1499064630699273,0.11380897653931075,0.16008368685129856,0.1763965124276905
0.10885398520454002,0.2035348978636889,0.10020998176229734,0.16956542749041068,0.11969779318687436,0.11391194516174517,0.10233676125152265,0.08188920807892106
0.09946223804877397,0.2265065967969596,0.1511331404109909,0.1265325257725699,0.16405747453037337,0.07063184941581913,0.09221774728983906,0.06945842773467381
0.09684946376963062,0.20767981957533435,0.12545760811265072,0.12173947774862469,0.1320839121893502,0.11081671395806486,0.09724223873477365,0.10813076591157113
0.13682537308928255,0.1549527122773772,0.1489856416826711,0.15056225148464292,0.11385998959049938,0.10340914244885714,0.11035038708729857,0.08105450233937132
0.11128952458731226,0.09794122040774197,0.09912846934533803,0.17821762316733253,0.10316902938824064,0.16266603315490696,0.0936279174556452,0.15396018249348242
0.1167061830906941,0.08452470732157001,0.09139509867866259,0.2735933343840879,0.1479132079178609,0.09652153035042353,0.09549600744631262,0.09384993081038855
0.1936405140812738,0.09201758299537392,0.09228830825912053,0.1311812464096136,0.10776760134908092,0.18671680934171023,0.09927510199983387,0.09711283556399335
0.10450132565082788,0.06893542544846494,0.07388215148031008,0.31506541367252505,0.08162719048297444,0.14190210532668118,0.07988213221042607,0.1342042557277902
0.13734182705109213,0.09513823962104988,0.11697025466264983,0.10703424634581121,0.18081963590975292,0.1346217018236981,0.13764504385988183,0.09042905072606404
