t_1,t_2,t_3,t_4,t_5
0.15346296883934266,0.11342997239020816,0.24439943453305696,0.13256246537900676,0.3561451588583855
0.2417331091633746,0.20617566523404285,0.20510481295578473,0.19168872879568818,0.15529768385110979
0.20553437124527943,0.2706201477782741,0.15969838761359506,0.1614522940120548,0.2026947993507966
0.1614275096543175,0.12920798596297306,0.24517527961096458,0.13035107161609957,0.33383815315564536
0.14852031072074523,0.17480482528160288,0.19284171977232345,0.15065856175184927,0.33317458247347903
0.12937428234891177,0.17085843611095158,0.11420051992015173,0.34978054625521754,0.2357862153647672
0.17035634288667073,0.17230511019800177,0.1469254177373179,0.19004324333828612,0.3203698858397235
0.15749843807615185,0.1707885861589865,0.2672735932345304,0.24720954598990774,0.15722983654042344
0.12659941684465403,0.3071400188679444,0.23607192891202902,0.1563559248428425,0.1738327105325301
0.1628302028197128,0.3136952353829744,0.16577455020284657,0.14759392745256547,0.2101060841419008
0.1645636371416249,0.25822424301698055,0.1683288283707575,0.1977782053763053,0.2111050860943317
0.1763273221339655,0.14859707072134035,0.220834621554404,0.12610026150614195,0.32814072408414824
0.1434270005228304,0.38556638416185407,0.14700486429919013,0.1440956579322045,0.17990609308392083
0.15931621706617208,0.15423381033459338,0.18257422053369748,0.31188801555723594,0.19198773650830112
0.20980202107425797,0.21451659337019607,0.2105063537643252,0.18290095730928582,0.18227407448193486
0.25353754489529934,0.32074803951566044,0.1420806543041275,0.12297554607595329,0.1606582152089596
0.1286780490702253,0.4137252217488319,0.12643032611368432,0.19939758391316278,0.13176881915409575
0.22093822509465028,0.23136605002086624,0.19718053936413485,0.16530688935970383,0.18520829616064483
0.2089228654134555,0.2537403147673527,0.14758051248989162,0.1860688682227055,0.2036874391065947
0.15130888542448281,0.3942265688237974,0.16232288596000682,0.17445473520198596,0.11768692458972711
0.20461542037766417,0.21685352756043627,0.23212755247385802,0.1742317941256267,0.17217170546241486
0.2024228228698847,0.1821984199065037,0.15988439922211628,0.22899191924301082,0.2265024387584846
0.16466333463417993,0.2122189336792709,0.2729825571732073,0.18524948908667502,0.16488568542666693
0.1483851120064482,0.28775224352059914,0.21297030836499145,0.16237231336371333,0.18852002274424795
0.20789043168825297,0.21731660918617723,0.16648484413151363,0.21627798764788891,0.19203012734616715
0.14320638357433618,0.16553884471244637,0.29626837383606913,0.18960406013869494,0.20538233773845319
0.23214645042496257,0.14492150310156346,0.1705118840696002,0.255125325763408,0.19729483664046596
0.16533163398378303,0.2546286903628385,0.13716147419070987,0.2701829982141436,0.1726952032485251
0.17964101165415117,0.30703484024414607,0.1355348931383502,0.17001824532690718,0.20777100963644554
0.19271646277474525,0.16474568484783764,0.28955736368335466,0.15872695035784928,0.19425353833621303
0.21884997296344666,0.21794945132161822,0.2218336928789586,0.16659503603129475,0.17477184680468194
0.22896812213645856,0.17512147466289427,0.16231013265879188,0.25914833790521113,0.1744519326366441
0.16202950478523617,0.15714751057198534,0.12856388072351158,0.34916796967256947,0.2030911342466974
0.19481553583010505,0.1329328050733751,0.14351920471857607,0.38430063341041376,0.1444318209675301
0.24219310411379133,0.15608960508479414,0.1700636634070907,0.2860361117399177,0.1456175156544061
0.26231662530877187,0.2501916384021628,0.1888133043056039,0.1587211358925596,0.13995729609090193
0.20077816006068733,0.17782941085312867,0.304570651014464,0.16793515670486123,0.14888662136685882
0.1415771952397661,0.27580302121476835,0.1412144426454493,0.22157250944817952,0.21983283145183657
