t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10
0.05188746428300954,0.07046754054116043,0.05851209103020879,0.054759935620606305,0.07046291985667781,0.3070816722778527,0.03952792883974044,0.047404681801863566,0.08811887550769153,0.21177689024118887
0.08762049325839102,0.11026518743323781,0.07988540237691574,0.09008293688055055,0.10596206202210223,0.1461455097805787,0.09110884385781812,0.08849713534467782,0.07344954876387445,0.12698288028185353
0.15421578576991038,0.08018481222970834,0.09717420571114409,0.060503086594158366,0.0632904272534355,0.1256223697677739,0.058621044635968206,0.133955666927413,0.08892957574296072,0.13750302536752754
0.060571969026808524,0.06886183720528861,0.11669329892309811,0.05331113898831152,0.11634924377300439,0.14601922003428086,0.04658848700950486,0.05580301108592183,0.09855376275471295,0.23724803119906826
0.06500650336954115,0.1351818764050606,0.09026445915940776,0.09275435025962882,0.22160569811345557,0.09346635860710395,0.053623205507979714,0.048078100899418635,0.07466023681423296,0.1253592108641707
0.06478992954135736,0.08459110278647723,0.08174681750341743,0.060848108594796536,0.08088795214812412,0.09477608518241994,0.08753925995740776,0.10826489389595803,0.15546363674529645,0.18109221364474504
0.05082081751593182,0.05677376458810236,0.20398968244499013,0.047980013923999705,0.07660115098273262,0.10019140636279468,0.03868887338838865,0.07179145236010705,0.08049425106481281,0.2726685873681401
0.07335091957385982,0.11575644022066357,0.0728810331736724,0.08456400123670865,0.14723877278213784,0.04909709054183933,0.23228899890613428,0.051632898535582304,0.10581707859804172,0.06737276643136005
0.06262184683170481,0.16476146373880518,0.1374171848317388,0.09358633748857725,0.0894704479240219,0.0839717289999556,0.05739071220281866,0.05688095385651352,0.10959982061142623,0.14429950351443827
0.08301556075553473,0.1295398621822474,0.08783115523358505,0.11612320338141217,0.08038464285353088,0.08817548878770072,0.05790645926028447,0.0643940378273306,0.14566497915522653,0.1469646105631475
0.08072978525300112,0.09020104403413452,0.10728206400071036,0.1715409260916298,0.09775819276575241,0.056258754930686945,0.07282840031359276,0.1375294782702675,0.0976124349382445,0.08825891940198037
0.07233282265578403,0.06110669536077126,0.11529624513310359,0.05909845362121163,0.1430574670570328,0.0651843707091074,0.0463996432965299,0.07714021042330954,0.20405115575791102,0.15633293598523879
0.07929150628655063,0.06427588407401555,0.1179046996003138,0.324968975052634,0.061230450885350486,0.05496111789332084,0.09519566991508417,0.08128063513403774,0.06448579001005018,0.05640527114864264
0.07007473210566403,0.24283565928903436,0.10185292038953048,0.06359319866867698,0.06249763472279649,0.07786217966575835,0.1504958689482768,0.06068202190578874,0.08967793793448199,0.08042784636999174
0.11038870055209474,0.13121962761887238,0.11283590186097452,0.09966024786973124,0.08673412472374539,0.05076394467884643,0.15150755610929836,0.12450992099087495,0.07150367179113334,0.060876303804428634
0.07556051365129891,0.15724642115004733,0.33112975742430467,0.05878344191659171,0.06447438315734609,0.04482592624696723,0.05886886798829343,0.08110564503533517,0.05711369588721299,0.07089134754260236
0.08167155464837407,0.10503828259692874,0.18869634900673812,0.06304050161073982,0.1358435793279422,0.06523408705655467,0.06085902960293879,0.13178026831149456,0.10303694203122131,0.06479940580706763
0.10574169083395153,0.08077218504752022,0.12753583375788063,0.09990881267285524,0.09470473986051231,0.0755002143382866,0.12772427249846094,0.09740793783462114,0.11869977804385788,0.07200453511205343
