t_1,t_2,t_3
0.26586770352358513,0.31360540906827783,0.42052688740813704
0.3847101970188605,0.32152250031698176,0.2937673026641576
0.4210955703943104,0.28861653558673217,0.2902878940189574
0.2947920409024999,0.35607922462178493,0.3491287344757152
0.26737220833836794,0.34552671902953996,0.38710107263209215
0.20449434377293857,0.24197541697277056,0.5535302392542909
0.2542196348193581,0.2416217845526733,0.5041585806279686
0.23772247539346256,0.4590913309985782,0.30318619360795923
0.31691623024669935,0.3607681871502659,0.3223155826030349
0.3065030855857061,0.4028038082524015,0.2906931061618923
0.3801900384308064,0.3169041920846143,0.3029057694845794
0.3036431556578556,0.3541598584489068,0.3421969858932377
0.40487984126684473,0.31849361115170893,0.27662654758144634
0.27274936051321763,0.3222154691350933,0.40503517035168896
0.3810943789847447,0.2832913655663943,0.3356142554488609
0.5057143042408693,0.25459234946830694,0.2396933462908237
0.32735698636167815,0.27009260170082305,0.40255041193749874
0.3772446559926912,0.3459574538074974,0.2767978901998116
0.32490425866411926,0.25382421951831474,0.42127152181756583
0.2472810881846026,0.39808460325063566,0.35463430856476175
0.3326329547064189,0.36945451609870095,0.2979125291948803
0.2610478002808931,0.35972216634316684,0.37923003337594
0.3108263288737297,0.41037543878065236,0.2787982323456179
0.34853137224288683,0.31862305656588724,0.332845571191226
0.28356087288701,0.29134835731210024,0.4250907698008898
0.23907919659686228,0.3818499415812018,0.379070861821936
0.3410013791829304,0.2115931094942732,0.4474055113227964
0.2854047427313785,0.30558190197269586,0.4090133552959257
0.44664315369165936,0.2907575515450929,0.2625992947632476
0.2664137321447548,0.3414243651617199,0.3921619026935254
0.3930815429406977,0.35798658436853475,0.24893187269076744
0.36084645489957967,0.3556953132406863,0.283458231859734
0.2949966079894871,0.30264711638384256,0.4023562756266704
0.29928449441695304,0.19524029339612822,0.5054752121869187
0.37659612837660994,0.3048704107479069,0.3185334608754831
0.3781488284130345,0.36844268286828286,0.25340848871868266
0.3353287569501536,0.40085432784419633,0.26381691520565004
0.33606844515644485,0.27745612072178044,0.3864754341217746
0.30117986573991223,0.3603905743556861,0.3384295599044017
0.2584124523149226,0.44624997285031665,0.2953375748347607
0.3039803236841942,0.35862055323111613,0.3373991230846897
0.3386394752332224,0.3303632822708277,0.33099724249595003
0.2373585132054573,0.26035912706972814,0.5022823597248146
0.4095340187312989,0.3689858356064371,0.22148014566226415
0.2957780384544366,0.42165523315942655,0.2825667283861368
0.35720454239410854,0.38231311037050136,0.26048234723539015
0.3896719225531583,0.27307595343851054,0.33725212400833104
0.24269068560677687,0.4104754881810613,0.34683382621216186
0.39445993583749916,0.3585560981218214,0.24698396604067946
0.3249057786901736,0.3976308070175146,0.277463414292312
0.2855674229688739,0.291793256553736,0.4226393204773903
0.2762055088767429,0.48085504370365395,0.24293944741960316
0.2761734603038016,0.3946933529104041,0.32913318678579445
0.26159362165524735,0.30236960273782343,0.4360367756069292
0.3441233747363653,0.3528179485625149,0.30305867670111986
0.2519782198341439,0.3774981849665295,0.37052359519932654
0.30114622634377847,0.3598803185277245,0.33897345512849725
0.33538377810960773,0.3186322374924022,0.3459839843979902
0.37523039020495397,0.3482156925866897,0.2765539172083565
0.30160467225015125,0.4261306583281206,0.2722646694217282
0.35109545665017966,0.38511153626596545,0.2637930070838549
0.30553326613759585,0.36866932906799643,0.32579740479440755
0.29821965757446534,0.26824493019642326,0.43353541222911135
0.3495596177729614,0.3913950565833248,0.25904532564371385
0.32056436575990166,0.3645876851953492,0.3148479490447493
0.36134742294500055,0.2728261347558745,0.3658264422991249
0.35602603844004654,0.27750845277748554,0.36646550878246786
0.38446255997836026,0.3235037589958652,0.2920336810257745
0.2518086246936874,0.5067477781735519,0.2414435971327608
0.35462269313808936,0.22450718302449352,0.4208701238374172
0.25853211658816916,0.24518742906942925,0.49628045434240153
0.27455761324289873,0.254383655091789,0.47105873166531237
0.2902317094460139,0.40354424494998203,0.3062240456040041
0.35295799171905856,0.3153361646032217,0.3317058436777196
0.382504391512009,0.2905262037398631,0.3269694047481281
0.35519184615378135,0.2896542345680031,0.3551539192782154
0.23362630325829933,0.3229516608451842,0.44342203589651646
0.3076143088572553,0.21218177394218823,0.4802039172005566
0.35480727614146385,0.32975227328488493,0.3154404505736513
0.24348418804189,0.3229904622220733,0.4335253497360367
0.21943091922627236,0.428821055629587,0.35174802514414066
0.2565076129194532,0.38696689849367044,0.3565254885868762
0.5367374019996812,0.2370914120441541,0.2261711859561646
