t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9
0.05969836117772149,0.10581411699760157,0.05999705074744025,0.11982841785696224,0.10367411974830235,0.12439576468235783,0.06436782456707726,0.11415870427539637,0.24806563994714054
0.0746775072715383,0.17659908175903313,0.15400589705635614,0.0889303531555943,0.1051070243022028,0.09170825011300099,0.14998669873071355,0.0643420779947697,0.09464310961679104
0.11460963079956164,0.09842920743458967,0.1810424689041857,0.07788041744323715,0.07128324038682422,0.08306979048378135,0.13328783868517752,0.11326172875958795,0.12713567710305487
0.07018000057289152,0.11593060078154832,0.07090143462900862,0.08301085267355741,0.09582530720179588,0.1009755310337226,0.09286986629357684,0.12456277940316143,0.24574362741073746
0.058357716094854115,0.08144249881997893,0.10896463806826438,0.11332997893518111,0.12502078735220362,0.3091588577190805,0.06014233837914272,0.06890794537263532,0.07467523925865911
0.08689934567816353,0.06704556934143698,0.14234927329374417,0.11458598487433018,0.07451259157978278,0.06593840364180921,0.07727773637388922,0.255336048168419,0.11605504704842495
0.06095970521074657,0.07280570308115317,0.11386605086920218,0.08366414620547907,0.0733952701115458,0.10027087860632129,0.12303726474730486,0.07633611302899118,0.2956648681392559
0.06497953466784354,0.07365992202964372,0.09078684993046711,0.19587057881135692,0.14635250123527513,0.11878598262208342,0.1080925758454691,0.07789698449683248,0.12357507036102854
0.06330992065649618,0.1027106915955731,0.10362060345660461,0.14875666334930424,0.08730775698881123,0.10714308565352812,0.08846772954547003,0.09771090434963924,0.20097264440457338
0.0756350493875617,0.08587722856102785,0.08020502812065128,0.14939318279442956,0.07235876244997703,0.12052474721243855,0.07210713243997982,0.22147713901556695,0.12242173001836748
0.07836820936710247,0.1396825768939782,0.14755963503418681,0.12812435463746114,0.10407614228752518,0.09847932289165817,0.10531766012059007,0.10069719138546954,0.09769490738202827
0.10360121603344724,0.10775464565380707,0.08823372049873725,0.13908761334925657,0.10060854732467833,0.11521414242869749,0.08695365662248584,0.1454977248431282,0.11304873324576213
0.06900775579672316,0.11666856363920884,0.12845091128729647,0.2541261127477329,0.08273176817906909,0.06434939241060256,0.09579093165726595,0.09596548681176972,0.09290907747033138
0.0925245970814372,0.12654602002554838,0.0921639103479844,0.10726061082001517,0.08731927903932589,0.07936994885210731,0.09990504725648265,0.21758823608585448,0.09732235049124428
0.10903569467751319,0.13694709291906657,0.11316089675280808,0.0861327312267513,0.12082334024212611,0.08178730348762883,0.17590440609430227,0.08282715093560408,0.0933813836641994
0.09041641406981449,0.2187656066853051,0.23776109314091254,0.07647689789300373,0.0784560343481843,0.08304551021532167,0.07463730171974357,0.0841925779618217,0.05624856396589299
0.09233524364989044,0.14926079230245026,0.1422450472790469,0.10445299316250194,0.08924799104942223,0.08389080102675951,0.1175193782949833,0.09547632582074611,0.1255714274141992
0.09942160492602939,0.10508522716170188,0.16522551441121974,0.21787113919552695,0.06904368936425107,0.06314461029719745,0.10416341673371694,0.07803553856070022,0.09800925934965639
0.09476690820244492,0.11815715098960883,0.10672821679083666,0.12449899240798037,0.07667308446034166,0.07577800946511337,0.18328177082140684,0.09213796297457899,0.1279779038876885
0.06309139286875806,0.10786636514806179,0.070205479807831,0.36332300471074674,0.05942863745592075,0.05255723328979113,0.08865987151233398,0.0825005091944944,0.11236750601206202
0.09621707720862548,0.08547696104761991,0.0855294712310322,0.26812382839954957,0.0946276675948481,0.07118186070593574,0.12783871892371698,0.0829408256338336,0.08806358925483834
0.08699128340524293,0.08691523225974905,0.07020538361313235,0.1359108674843571,0.06944978073270394,0.06987765664899305,0.1252397589337065,0.12189048733797633,0.23351954958413873
0.09727951297537418,0.087074970470354,0.12632128091916245,0.12738555184196165,0.13363098130855747,0.10909010289869385,0.10298068931356548,0.13298698674979728,0.08324992352253377
0.08939627838826263,0.09180093391672614,0.12278030155720052,0.13365575505815638,0.08877600812239195,0.10876921252918456,0.13117405296216073,0.16226636874281924,0.07138108872309797
0.15010450127855243,0.0995436688815839,0.09681607830341386,0.07955655357735313,0.07253538512078804,0.0935701224014055,0.1828479063720522,0.13162066909375003,0.09340511497110107
0.08232884039431275,0.097518456861893,0.08348141173900803,0.1231290604181851,0.08916374813898136,0.08978815966778374,0.23871021919425395,0.08556609973177852,0.11031400385380359
0.10542316688997577,0.06934084172379268,0.06937588379110386,0.08991295337276274,0.06121778693621897,0.10057405892366147,0.32059894676773004,0.1148494876577447,0.06870687393700983
0.10449532105665608,0.14445305891447166,0.138553219087399,0.08336984396361749,0.13870927349449294,0.11064395580298783,0.1281044670824659,0.07889075347230225,0.07278010712560667
0.14937306810606066,0.158179093934421,0.07901285719109212,0.14969327263685764,0.09337297692776525,0.07320885167439202,0.09781109782869571,0.1254636509878162,0.07388513071289965
0.10507361773312919,0.1272688180632512,0.10101499689816552,0.08549732852954685,0.0966806133634338,0.08083845647570016,0.14059679954399681,0.1384574786285843,0.12457189076419226
0.10880973983276546,0.10312869080301638,0.1889049660890157,0.19582958483731705,0.08003642189245429,0.0700827645246594,0.08825649012337321,0.08375646860350294,0.08119487329389556
0.10969465726333759,0.14758277828106822,0.08205736965761407,0.10277696783584732,0.12381507445610558,0.11976857083614521,0.0856500950485655,0.09482645823979044,0.1338280283815263
0.15622428713600736,0.13314661717932308,0.07973541170761933,0.08049338443116673,0.07338170331363525,0.07861188009564789,0.19405189848110502,0.11191660116914702,0.09243821648634819
0.19812104511625603,0.09822954377714739,0.08368572880433403,0.07985921890289466,0.08103181321346262,0.12009296469904261,0.12458096256279655,0.13583673261453263,0.07856199030953355
